name,company,year,selling_price,km_driven,fuel,transmission,owner
Maruti Alto K10 VXI,Maruti,2019,366000,15000,Petrol,Manual,First Owner
Hyundai Verna VTVT 1.6,Hyundai,2019,1149000,5000,Petrol,Manual,First Owner
Datsun GO D,Datsun,2016,150000,42000,Petrol,Manual,First Owner
Tata Safari DICOR 2.2,Tata,2011,425000,60000,Diesel,Manual,Second Owner
Maruti 800 Std,Maruti,2012,150000,76000,Petrol,Manual,First Owner
Jeep Compass 1.4 Limited,Jeep,2019,2100000,5000,Petrol,Automatic,First Owner
Honda City i VTEC,Honda,2018,925000,28900,Petrol,Manual,First Owner
Honda City V MT,Honda,2013,425000,86300,Petrol,Manual,First Owner
Maruti Swift Dzire VXi,Maruti,2018,675000,23300,Petrol,Automatic,First Owner
Maruti Vitara Brezza VDi,Maruti,2018,819999,32600,Diesel,Manual,First Owner
Maruti Alto K10 VXI,Maruti,2018,390000,10300,Petrol,Manual,First Owner
Toyota Fortuner 4x4 MT,Toyota,2014,1500000,77000,Diesel,Manual,First Owner
Toyota Innova 2.5 G,Toyota,2013,700000,99000,Diesel,Manual,First Owner
Mercedes-Benz B Class B180,Mercedes-Benz,2014,1450000,27800,Diesel,Automatic,Second Owner
Honda Amaze S Diesel,Honda,2015,425000,49800,Diesel,Manual,First Owner
Mitsubishi Pajero Sport 4X4,Mitsubishi,2013,1090000,151000,Diesel,Manual,First Owner
Honda City i DTEC,Honda,2015,600000,54700,Diesel,Manual,First Owner
Maruti Ciaz Zeta,Maruti,2018,850000,64000,Petrol,Manual,First Owner
Honda Jazz VX Diesel,Honda,2015,525000,63000,Diesel,Manual,First Owner
Toyota Innova Crysta 2.8,Toyota,2016,1650000,127700,Diesel,Automatic,Second Owner
Toyota Innova 2.5 G,Toyota,2016,950000,99000,Diesel,Manual,First Owner
Audi A6 2.0 TDI,Audi,2013,1750000,33900,Diesel,Automatic,Second Owner
Toyota Corolla Altis 1.8,Toyota,2018,1590000,25000,Petrol,Automatic,First Owner
Audi A6 2.0 TDI,Audi,2013,1689999,50000,Diesel,Automatic,First Owner
Mercedes-Benz New C-Class 220,Mercedes-Benz,2013,1425000,59000,Diesel,Automatic,First Owner
Tata Manza ELAN Quadrajet,Tata,2011,265000,120000,Diesel,Manual,First Owner
Hyundai i10 Magna,Hyundai,2011,190000,110000,Petrol,Manual,Third Owner
Hyundai i20 Asta 1.4,Hyundai,2013,425000,60000,Diesel,Manual,First Owner
Maruti Swift Dzire ZDI,Maruti,2015,630000,147000,Diesel,Manual,Second Owner
Ford Figo 1.2P Titanium,Ford,2017,600000,25000,Petrol,Manual,Third Owner
Maruti Baleno Delta 1.2,Maruti,2019,650000,30000,Petrol,Manual,First Owner
Volkswagen Ameo 1.5 TDI,Volkswagen,2016,540000,40000,Diesel,Manual,First Owner
Honda City i DTEC,Honda,2015,630000,135000,Diesel,Manual,First Owner
Maruti Wagon R AMT,Maruti,2018,448000,30000,Petrol,Automatic,First Owner
Volkswagen Ameo 1.5 TDI,Volkswagen,2017,500000,80000,Diesel,Manual,First Owner
Maruti Vitara Brezza VDi,Maruti,2016,745000,70000,Diesel,Manual,First Owner
Maruti Vitara Brezza ZDi,Maruti,2019,1025000,9850,Diesel,Automatic,First Owner
Hyundai i10 Magna,Hyundai,2011,235000,60000,Petrol,Manual,Second Owner
Maruti Swift VDI Deca,Maruti,2016,630000,70000,Diesel,Manual,First Owner
Toyota Fortuner 4x4 MT,Toyota,2015,1700000,78000,Diesel,Manual,Second Owner
Maruti Swift Star VDI,Maruti,2013,450000,120000,Diesel,Manual,Second Owner
Maruti Ertiga ZXI,Maruti,2012,450000,120000,Petrol,Manual,Second Owner
Tata Indica DLS,Tata,2003,50000,70000,Diesel,Manual,First Owner
Volkswagen Vento Diesel Highline,Volkswagen,2013,450000,170000,Diesel,Manual,First Owner
Toyota Innova 2.5 VX,Toyota,2016,1200000,140000,Diesel,Manual,First Owner
Ford EcoSport 1.5 TDCi,Ford,2015,610000,90000,Diesel,Manual,First Owner
BMW X1 sDrive20i xLine,BMW,2016,2500000,30000,Petrol,Automatic,Second Owner
Maruti Celerio ZXI MT,Maruti,2017,484999,10000,Petrol,Manual,First Owner
Datsun GO A Petrol,Datsun,2016,275000,49000,Petrol,Manual,First Owner
Maruti Alto 800 VXI,Maruti,2016,315000,32000,Petrol,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2016,275000,38000,Petrol,Manual,First Owner
Maruti Swift VDI BSIV,Maruti,2015,475000,78000,Diesel,Manual,First Owner
Hyundai i10 Era 1.1,Hyundai,2012,290000,28000,Petrol,Manual,First Owner
Maruti Omni 8 Seater,Maruti,2017,280000,32000,Petrol,Manual,First Owner
Maruti Wagon R LXI,Maruti,2010,225000,44000,LPG,Manual,First Owner
Volkswagen Polo 1.2 MPI,Volkswagen,2015,455000,42000,Petrol,Manual,First Owner
Hyundai i10 Magna 1.1L,Hyundai,2015,351000,45000,Petrol,Manual,Second Owner
Volkswagen Vento Petrol Highline,Volkswagen,2012,535000,12000,Petrol,Manual,Second Owner
Maruti Zen Estilo LXI,Maruti,2009,175000,55500,Petrol,Manual,First Owner
Hyundai i20 Asta Optional,Hyundai,2013,525000,61500,Petrol,Manual,First Owner
Maruti Swift Dzire LDI,Maruti,2016,600000,150000,Diesel,Manual,First Owner
Hyundai Xcent 1.2 Kappa,Hyundai,2016,565000,72000,Petrol,Automatic,First Owner
Maruti Alto LX BSIII,Maruti,2008,120000,68000,Petrol,Manual,Third Owner
Hyundai i20 1.4 Asta,Hyundai,2017,725000,110000,Diesel,Manual,First Owner
Maruti Wagon R VXI,Maruti,2009,185000,77000,Petrol,Manual,Second Owner
Tata Manza Aura (ABS),Tata,2010,200000,100000,Diesel,Manual,Second Owner
Maruti Swift VXI,Maruti,2019,615000,10000,Petrol,Manual,First Owner
Maruti Eeco 7 Seater,Maruti,2016,270000,100000,Petrol,Manual,Third Owner
Maruti Baleno Zeta 1.2,Maruti,2018,610000,35000,Petrol,Manual,First Owner
Mahindra Scorpio VLX AT,Mahindra,2014,625000,70000,Diesel,Automatic,Second Owner
Ford Freestyle Titanium Petrol,Ford,2020,400000,5000,Petrol,Manual,Second Owner
Hyundai Verna VTVT 1.6,Hyundai,2017,866000,37800,Petrol,Manual,First Owner
Volkswagen Passat 1.8 TSI,Volkswagen,2010,700000,114000,Petrol,Manual,First Owner
Tata Indica Vista Aura,Tata,2010,300000,48000,Petrol,Manual,First Owner
Mahindra XUV500 W11 Option,Mahindra,2019,1700000,32000,Diesel,Manual,First Owner
Tata Indigo CS LS,Tata,2016,375000,100000,Diesel,Manual,First Owner
Hyundai Verna 1.6 SX,Hyundai,2013,522000,150000,Diesel,Manual,Second Owner
Hyundai i20 Magna 1.4,Hyundai,2013,451999,69000,Diesel,Manual,First Owner
Toyota Corolla Altis G,Toyota,2009,300000,100000,Petrol,Manual,Second Owner
Maruti Celerio VXI,Maruti,2020,475000,13000,Petrol,Manual,First Owner
Maruti Vitara Brezza ZDi,Maruti,2016,780000,60000,Diesel,Manual,First Owner
Maruti Swift Dzire VXI,Maruti,2017,595000,40000,Petrol,Manual,First Owner
Maruti Wagon R VXI,Maruti,2017,440000,35000,Petrol,Manual,First Owner
Maruti Swift VDI BSIV,Maruti,2010,300000,120000,Diesel,Manual,Second Owner
Nissan Terrano XL 85,Nissan,2014,400000,70000,Diesel,Manual,Third Owner
Hyundai Creta 1.6 CRDi,Hyundai,2016,1140000,50000,Diesel,Manual,First Owner
Ford EcoSport 1.5 Diesel,Ford,2017,850000,76139,Diesel,Manual,First Owner
Maruti Swift Dzire VDi,Maruti,2012,370000,175000,Diesel,Manual,Fourth & Above Owner
Renault KWID 1.0,Renault,2018,350000,25000,Petrol,Manual,First Owner
Maruti Celerio VXI,Maruti,2015,360000,40000,Petrol,Manual,Second Owner
Maruti Alto LXi,Maruti,2008,105000,65000,Petrol,Manual,Fourth & Above Owner
Maruti Ertiga VDI,Maruti,2013,625000,90000,Diesel,Manual,Second Owner
Hyundai Santro Xing GLS,Hyundai,2009,135000,80000,Petrol,Manual,Second Owner
Maruti Ertiga VDI,Maruti,2015,700000,110000,Diesel,Manual,Second Owner
Honda Amaze S i-VTEC,Honda,2019,690000,1303,Petrol,Manual,First Owner
Audi Q5 35TDI Premium,Audi,2018,3975000,31800,Diesel,Automatic,First Owner
Lexus ES 300h,Lexus,2019,5150000,20000,Petrol,Automatic,First Owner
Jaguar XF 2.0 Diesel,Jaguar,2017,3200000,45000,Diesel,Automatic,First Owner
Jeep Wrangler 2016-2019 3.6,Jeep,2017,4100000,17000,Petrol,Automatic,First Owner
Land Rover Discovery Sport,Land,2019,4500000,21000,Diesel,Automatic,First Owner
Mercedes-Benz S-Class S 350,Mercedes-Benz,2017,6000000,37000,Diesel,Automatic,First Owner
BMW 5 Series 520d,BMW,2018,3790000,29500,Diesel,Automatic,First Owner
BMW X1 sDrive 20D,BMW,2017,2150000,27000,Diesel,Automatic,First Owner
BMW X4 M Sport,BMW,2019,5800000,7500,Diesel,Automatic,First Owner
Skoda Superb LK 1.8,Skoda,2018,1864999,50000,Petrol,Automatic,First Owner
Mercedes-Benz E-Class E250 Edition,Mercedes-Benz,2016,2700000,35000,Diesel,Automatic,First Owner
MG Hector Sharp AT,MG,2019,1750000,19000,Petrol,Automatic,First Owner
Honda City i-VTEC CVT,Honda,2017,795000,41000,Petrol,Automatic,First Owner
Toyota Corolla Altis 1.8,Toyota,2013,625000,39000,Petrol,Automatic,First Owner
Volvo XC40 D4 R-Design,Volvo,2018,3400000,22000,Diesel,Automatic,First Owner
Audi Q7 35 TDI,Audi,2015,2650000,53000,Diesel,Automatic,First Owner
Maruti Ciaz ZDi,Maruti,2015,535000,40000,Diesel,Manual,First Owner
Mercedes-Benz S-Class S 350,Mercedes-Benz,2017,5850000,47000,Diesel,Automatic,First Owner
BMW 5 Series 523i,BMW,2010,975000,72200,Petrol,Automatic,Second Owner
Hyundai Elantra S,Hyundai,2016,805000,49900,Petrol,Manual,First Owner
Jaguar XE 2016-2019 2.0L,Jaguar,2017,2625000,9000,Diesel,Automatic,First Owner
Tata Nexon 1.2 Revotron,Tata,2018,811000,11000,Petrol,Manual,First Owner
Volkswagen Vento Petrol Highline,Volkswagen,2011,375000,49000,Petrol,Manual,First Owner
Hyundai Elantra SX,Hyundai,2012,550000,95000,Petrol,Manual,First Owner
Skoda Rapid 1.6 MPI,Skoda,2016,645000,11000,Petrol,Automatic,First Owner
Mercedes-Benz CLA 200 CGI,Mercedes-Benz,2018,2550000,18000,Petrol,Automatic,First Owner
Maruti Ertiga ZXI,Maruti,2014,599000,46100,Petrol,Manual,First Owner
Mercedes-Benz New C-Class C,Mercedes-Benz,2017,2700000,16000,Petrol,Automatic,First Owner
Honda City V AT,Honda,2017,875000,18000,Petrol,Automatic,First Owner
Toyota Glanza V CVT,Toyota,2019,894999,9654,Petrol,Automatic,First Owner
Maruti Alto K10 VXI,Maruti,2011,175000,11000,Petrol,Manual,First Owner
Maruti Swift VXI,Maruti,2012,340000,24300,Petrol,Manual,First Owner
Toyota Innova Crysta 2.8,Toyota,2016,1525000,42163,Diesel,Automatic,Second Owner
Tata Nexon 1.5 Revotorq,Tata,2018,1025000,8000,Diesel,Automatic,First Owner
BMW 3 Series 320d,BMW,2016,2150000,30000,Diesel,Automatic,First Owner
Toyota Camry 2.5 Hybrid,Toyota,2016,1900000,41000,Petrol,Automatic,First Owner
BMW 5 Series 520d,BMW,2016,2900000,12000,Diesel,Automatic,First Owner
Toyota Camry W4 (AT),Toyota,2009,450000,71000,Petrol,Automatic,First Owner
Maruti Ertiga BSIV ZXI,Maruti,2016,850000,20000,Petrol,Manual,First Owner
Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,100000,Diesel,Manual,Second Owner
Ford Figo Aspire 1.2,Ford,2018,575000,9500,Petrol,Manual,First Owner
Ford Figo Diesel LXI,Ford,2011,160000,120000,Diesel,Manual,First Owner
Maruti Swift VXI Optional,Maruti,2015,515000,36600,Petrol,Manual,First Owner
Maruti Wagon R AMT,Maruti,2015,390000,50000,Petrol,Automatic,Second Owner
Hyundai i20 Magna 1.2,Hyundai,2016,550000,14000,Petrol,Manual,Second Owner
Maruti 800 Std,Maruti,1999,40000,40000,Petrol,Manual,Second Owner
Maruti Ritz VDi,Maruti,2010,220000,120000,Diesel,Manual,First Owner
Hyundai Grand i10 Magna,Hyundai,2015,425000,70000,Petrol,Manual,First Owner
Volkswagen Ameo 1.0 MPI,Volkswagen,2019,480000,13000,Petrol,Manual,First Owner
Hyundai Grand i10 Sportz,Hyundai,2014,400000,60000,Petrol,Manual,Second Owner
Maruti Swift Dzire VXI,Maruti,2014,487000,35000,Petrol,Manual,First Owner
Hyundai Xcent 1.2 Kappa,Hyundai,2016,386000,44000,Petrol,Manual,Second Owner
Honda City 1.5 EXI,Honda,2005,100000,120000,Petrol,Manual,Second Owner
Toyota Corolla Altis Diesel,Toyota,2010,300000,60000,Diesel,Manual,First Owner
Daewoo Matiz SD,Daewoo,2000,100000,60000,Petrol,Manual,First Owner
Toyota Fortuner 4x2 Manual,Toyota,2014,1750000,30000,Diesel,Manual,Second Owner
Mahindra KUV 100 mFALCON,Mahindra,2016,450000,15000,Petrol,Manual,Second Owner
Tata Zest Quadrajet 1.3,Tata,2017,490000,90000,Diesel,Manual,First Owner
Honda City 1.5 S,Honda,2009,345000,47000,Petrol,Manual,Second Owner
Maruti Zen LXI,Maruti,2005,85000,90000,Petrol,Manual,First Owner
Maruti Wagon R VXI,Maruti,2010,215000,120600,Petrol,Manual,Second Owner
Hyundai Verna Transform SX,Hyundai,2010,320000,100000,Petrol,Manual,Third Owner
Maruti Swift Dzire VXI,Maruti,2016,459999,60000,Petrol,Manual,Second Owner
Hyundai Getz GLS,Hyundai,2005,65000,86000,Petrol,Manual,First Owner
Hyundai Elite i20 Sportz,Hyundai,2020,720000,5000,Petrol,Manual,First Owner
Maruti Ciaz 1.3 Alpha,Maruti,2017,800000,37000,Diesel,Manual,First Owner
Tata Tigor 1.2 Revotron,Tata,2019,520000,14000,Petrol,Manual,First Owner
Maruti Ertiga VDI,Maruti,2015,580000,70000,Diesel,Manual,First Owner
Toyota Etios GD,Toyota,2012,235000,120000,Diesel,Manual,First Owner
Honda City i VTEC,Honda,2015,600000,50000,Petrol,Manual,First Owner
Honda Brio S MT,Honda,2014,290000,60000,Petrol,Manual,Second Owner
Maruti Wagon R LXI,Maruti,2016,360000,50000,CNG,Manual,First Owner
Maruti Swift Dzire VXI,Maruti,2017,550000,50000,Petrol,Manual,First Owner
Hyundai i20 Sportz 1.2,Hyundai,2013,375000,70000,Petrol,Manual,First Owner
Maruti Omni E 8,Maruti,2003,40000,90000,Petrol,Manual,Second Owner
Maruti Wagon R AMT,Maruti,2018,420000,35000,Petrol,Automatic,First Owner
Maruti Swift Dzire VXI,Maruti,2017,550000,20000,Petrol,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2018,270000,20000,Petrol,Manual,First Owner
Maruti Swift Dzire AMT,Maruti,2018,700000,7800,Petrol,Automatic,First Owner
Maruti Swift VXI Optional,Maruti,2017,500000,20000,Petrol,Manual,First Owner
Tata Hexa XE,Tata,2019,1250000,15000,Diesel,Manual,First Owner
Hyundai i20 Magna,Hyundai,2013,320000,31377,Petrol,Manual,Second Owner
Maruti Swift Dzire VDI,Maruti,2018,700000,50000,Diesel,Manual,First Owner
Maruti Wagon R VXI,Maruti,2015,290000,60000,Petrol,Manual,First Owner
Toyota Corolla Altis 1.8,Toyota,2012,550000,100000,Petrol,Automatic,First Owner
Honda Brio S MT,Honda,2012,265000,60000,Petrol,Manual,First Owner
Maruti Baleno Alpha Automatic,Maruti,2018,830000,5000,Petrol,Automatic,First Owner
Tata Safari Storme EX,Tata,2017,800000,60000,Diesel,Manual,First Owner
Maruti Alto LXi,Maruti,2011,160000,25000,Petrol,Manual,Second Owner
Renault KWID RXT,Renault,2018,335000,30000,Petrol,Manual,First Owner
Datsun GO T BSIV,Datsun,2017,329000,80000,Petrol,Manual,Second Owner
Maruti Vitara Brezza VDi,Maruti,2017,775000,75000,Diesel,Manual,First Owner
Hyundai Xcent 1.2 VTVT,Hyundai,2020,524000,32000,Petrol,Manual,First Owner
Maruti Alto 800 LXI,Maruti,2015,245000,40000,Petrol,Manual,First Owner
Hyundai i20 1.2 Sportz,Hyundai,2012,275000,93000,Petrol,Manual,Second Owner
Tata Zest Revotron 1.2,Tata,2018,520000,60000,Petrol,Manual,First Owner
Maruti Swift 1.3 VXi,Maruti,2008,130000,120000,Petrol,Manual,Second Owner
Nissan Sunny XL,Nissan,2014,550000,37000,Petrol,Manual,First Owner
Ford EcoSport 1.5 Petrol,Ford,2018,910000,15000,Petrol,Manual,First Owner
Nissan Micra Active XV,Nissan,2015,300000,80000,Petrol,Manual,First Owner
Maruti Wagon R LXI,Maruti,2016,350000,140000,Petrol,Manual,First Owner
Mahindra Ssangyong Rexton RX5,Mahindra,2013,900000,70000,Diesel,Manual,First Owner
Mahindra Quanto C8,Mahindra,2013,300000,120000,Diesel,Manual,Second Owner
Maruti Ritz LDi,Maruti,2010,250000,110000,Diesel,Manual,Second Owner
Hyundai Creta 1.6 CRDi,Hyundai,2017,1100000,37000,Diesel,Manual,First Owner
Renault KWID RXT,Renault,2016,270000,44000,Petrol,Manual,First Owner
Maruti Ertiga VDI,Maruti,2015,640000,80000,Diesel,Manual,First Owner
Mahindra XUV500 W4,Mahindra,2015,650000,125000,Diesel,Manual,First Owner
Maruti Eeco 5 Seater,Maruti,2017,409999,13500,Petrol,Manual,First Owner
Hyundai Santro Xing GLS,Hyundai,2011,165000,75000,Petrol,Manual,First Owner
Hyundai Accent GLE,Hyundai,2007,80000,120000,Petrol,Manual,Second Owner
Mahindra XUV500 W8 2WD,Mahindra,2012,535000,120000,Diesel,Manual,First Owner
Toyota Innova 2.5 EV,Toyota,2013,700000,70000,Diesel,Manual,First Owner
Maruti Swift Dzire VDI,Maruti,2013,550000,70000,Diesel,Manual,First Owner
Honda Amaze S CVT,Honda,2019,680000,15000,Petrol,Automatic,First Owner
Hyundai i10 Sportz 1.2,Hyundai,2009,200000,53000,Petrol,Manual,Second Owner
Maruti Swift Dzire VDI,Maruti,2014,500000,120000,Diesel,Manual,Second Owner
Maruti Ertiga SHVS ZDI,Maruti,2016,1000000,70000,Diesel,Manual,First Owner
Hyundai Getz 1.3 GVS,Hyundai,2008,110000,120000,Petrol,Manual,Second Owner
Hyundai i20 1.2 Magna,Hyundai,2012,320000,100000,Petrol,Manual,Second Owner
Tata Indica DLS,Tata,2005,75000,110000,Diesel,Manual,Second Owner
Maruti Swift LXI Optional-O,Maruti,2015,350000,100000,Petrol,Manual,First Owner
Tata Indica Vista TDI,Tata,2013,170000,162500,Diesel,Manual,First Owner
Hyundai i20 2015-2017 Asta,Hyundai,2017,800000,39000,Diesel,Manual,First Owner
Maruti Ignis 1.3 Alpha,Maruti,2017,500000,75000,Diesel,Manual,First Owner
Tata Hexa XTA,Tata,2017,1380000,50000,Diesel,Automatic,First Owner
Mahindra Marazzo M6 8Str,Mahindra,2019,1300000,40000,Diesel,Manual,First Owner
Hyundai Verna 1.6 CRDI,Hyundai,2013,530000,92500,Diesel,Manual,First Owner
Maruti Swift Dzire VDI,Maruti,2012,360000,158000,Diesel,Manual,First Owner
Maruti Swift Dzire LDi,Maruti,2012,310000,120000,Diesel,Manual,First Owner
Honda City i DTEC,Honda,2015,725000,50000,Diesel,Manual,Second Owner
Maruti Swift Dzire ZDi,Maruti,2012,340000,110000,Diesel,Manual,First Owner
Hyundai Xcent 1.2 CRDi,Hyundai,2017,550000,2000,Diesel,Manual,Second Owner
Toyota Fortuner 3.0 Diesel,Toyota,2011,1150000,181000,Diesel,Manual,Second Owner
Tata Tiago 1.05 Revotorq,Tata,2016,380000,70000,Diesel,Manual,First Owner
Nissan Sunny XL AT,Nissan,2013,350000,90000,Petrol,Automatic,Second Owner
Hyundai Elite i20 Magna,Hyundai,2019,610000,2000,Petrol,Manual,First Owner
Maruti Swift Dzire VXI,Maruti,2015,525000,20000,Petrol,Manual,First Owner
Toyota Innova 2.5 GX,Toyota,2011,480000,120000,Diesel,Manual,First Owner
Mahindra Thar CRDe,Mahindra,2017,780000,35000,Diesel,Manual,First Owner
Maruti Swift Dzire ZDi,Maruti,2012,320000,193000,Diesel,Manual,First Owner
Maruti Swift 1.2 DLX,Maruti,2014,375000,80000,Petrol,Manual,First Owner
Datsun GO D Petrol,Datsun,2019,300000,40000,Petrol,Manual,First Owner
Hyundai i20 Asta 1.4,Hyundai,2015,500000,70000,Diesel,Manual,Fourth & Above Owner
Mahindra Scorpio LX,Mahindra,2011,404000,122358,Diesel,Manual,First Owner
Tata Sumo Gold EX,Tata,2015,500000,75000,Diesel,Manual,First Owner
Tata Tiago Wizz 1.05,Tata,2017,350000,120000,Diesel,Manual,First Owner
Tata Zest Revotron 1.2,Tata,2015,380000,40000,Petrol,Manual,First Owner
Hyundai Accent GLE,Hyundai,2008,114999,95200,Petrol,Manual,Third Owner
Honda Brio Exclusive Edition,Honda,2014,335000,33033,Petrol,Manual,First Owner
Hyundai Grand i10 AT,Hyundai,2015,465000,63063,Petrol,Automatic,First Owner
Tata Manza Club Class,Tata,2012,290000,60000,Diesel,Manual,First Owner
Maruti Alto LX,Maruti,2005,110000,45000,Petrol,Manual,Second Owner
Tata New Safari DICOR,Tata,2011,450000,80000,Diesel,Manual,Third Owner
Mahindra Bolero SLE,Mahindra,2009,400000,170000,Diesel,Manual,Second Owner
Mahindra Bolero DI DX,Mahindra,2007,210000,207890,Diesel,Manual,Second Owner
Mercedes-Benz GL-Class 220d 4MATIC,Mercedes-Benz,2018,4600000,7976,Diesel,Automatic,First Owner
Maruti Omni E MPI,Maruti,2016,220000,35000,Petrol,Manual,First Owner
Hyundai Grand i10 Sportz,Hyundai,2017,450000,35000,Petrol,Manual,First Owner
Hyundai Grand i10 Sportz,Hyundai,2017,450000,35000,Petrol,Manual,First Owner
Hyundai i10 Sportz AT,Hyundai,2013,290000,50000,Petrol,Automatic,First Owner
Maruti Swift VXI Deca,Maruti,2016,520000,20000,Petrol,Manual,First Owner
Hyundai i10 Sportz AT,Hyundai,2011,265000,20000,Petrol,Automatic,First Owner
Maruti Swift VXI,Maruti,2012,330000,50000,Petrol,Manual,Second Owner
Maruti Swift VXI,Maruti,2012,330000,50000,Petrol,Manual,Second Owner
Mahindra Bolero 2011-2019 ZLX,Mahindra,2014,509999,120000,Diesel,Manual,First Owner
Hyundai Verna 1.6 SX,Hyundai,2014,500000,70000,Petrol,Manual,First Owner
Hyundai i20 Active 1.2,Hyundai,2015,525000,50000,Petrol,Manual,First Owner
Maruti Baleno Zeta,Maruti,2019,675000,16500,Petrol,Manual,First Owner
Hyundai i20 1.2 Asta,Hyundai,2010,300000,70000,Petrol,Manual,First Owner
Maruti Alto LXI,Maruti,2005,90000,99361,Petrol,Manual,Second Owner
Maruti Swift Dzire VDI,Maruti,2017,650000,25000,Diesel,Manual,First Owner
Maruti Swift Dzire VXI,Maruti,2014,409000,70000,Petrol,Manual,Second Owner
Hyundai Grand i10 CRDi,Hyundai,2015,395000,80000,Diesel,Manual,Second Owner
Maruti Swift 1.3 VXi,Maruti,2010,215000,70000,Petrol,Manual,Second Owner
Maruti Swift Dzire VXI,Maruti,2014,400000,70000,Petrol,Manual,Second Owner
Chevrolet Beat LS,Chevrolet,2012,120000,60000,Petrol,Manual,Third Owner
Tata Tigor 1.2 Revotron,Tata,2018,645000,10000,Petrol,Automatic,First Owner
Maruti 800 Std,Maruti,2006,81000,80000,Petrol,Manual,First Owner
Honda City i-DTEC VX,Honda,2017,1300000,30000,Diesel,Manual,First Owner
Honda City i-DTEC VX,Honda,2017,1250000,33000,Diesel,Manual,First Owner
Maruti Ertiga VXI,Maruti,2013,535000,90000,Petrol,Manual,Third Owner
Nissan Terrano XV Premium,Nissan,2014,555000,80100,Diesel,Manual,Second Owner
Honda City i VTEC,Honda,2014,725000,120000,Petrol,Manual,First Owner
Renault KWID RXL,Renault,2016,229999,40000,Petrol,Manual,First Owner
Toyota Innova 2.5 GX,Toyota,2013,800000,160000,Diesel,Manual,Second Owner
Maruti Wagon R VXI,Maruti,2017,409999,47000,Petrol,Manual,First Owner
Hyundai Creta 1.4 CRDi,Hyundai,2018,1210000,25000,Diesel,Manual,First Owner
Tata Tiago 1.2 Revotron,Tata,2017,400000,26000,Petrol,Manual,First Owner
Hyundai Grand i10 1.2,Hyundai,2018,520000,29000,Diesel,Manual,First Owner
